href	language_num	sex	birth_place	native_language	other_languages	age_sex	age_of_english_onset	english_learning_method	english_residence	length_of_english_residence	age	category
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=45	cantonese1	female	['kong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['22,', 'female', '']	12.0	academic	['usa']	1.0	22.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=46	cantonese2	male	['kong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['20,', 'male', '']	13.0	academic	['usa']	0.3	20.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=47	cantonese3	male	['kong,', 'china']	"cantonese
(yue)"	['french', 'mandarin', '']	['22,', 'male', '']	6.0	academic	['uk']	0.1	22.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=48	cantonese4	female	['fujian,', 'china']	"cantonese
(yue)"	['mandarin', '']	['29,', 'female', '']	13.0	academic	['usa']	4.0	29.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=49	cantonese5	male	['kong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['18,', 'male', '']	14.0	academic	['new', 'zealand']	0.7	18.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=462	cantonese6	male	['kong,', 'china']	"cantonese
(yue)"	['mandarin', 'japanese', '']	['25,', 'male', '']	5.0	academic	['']	0.0	25.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=494	cantonese7	male	['kong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['31,', 'male', '']	4.0	academic	['canada']	16.0	31.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=498	cantonese8	female	['kong,', 'china']	"cantonese
(yue)"	['french', '']	['23,', 'female', '']	2.0	academic	['canada']	15.0	23.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=502	cantonese9	male	['kong,', 'china']	"cantonese
(yue)"	['mandarin', 'tagalog', '']	['22,', 'male', '']	7.0	academic	['uk']	5.0	22.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=505	cantonese10	female	['fujian,', 'china']	"cantonese
(yue)"	['mandarin', '']	['25,', 'female', '']	3.0	academic	['canada']	0.5	25.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=544	cantonese11	female	['kong,', 'china']	"cantonese
(yue)"	['none']	['22,', 'female', '']	3.0	academic	['']	0.0	22.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=602	cantonese12	female	['macau,', 'china']	"cantonese
(yue)"	['mandarin', 'norwegian', 'portuguese', '']	['20,', 'female', '']	4.0	academic	['canada']	2.3	20.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=730	cantonese13	female	['kong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['21,', 'female', '']	3.0	academic	['']	0.0	21.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=742	cantonese14	female	['kong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['19,', 'female', '']	3.0	academic	['uk']	0.5	19.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=862	cantonese15	female	['guangdong,', 'china']	"cantonese
(yue)"	['hakka', 'mandarin', 'french', '']	['31,', 'female', '']	12.0	academic	['usa']	5.5	31.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=874	cantonese16	female	['kong,', 'china']	"cantonese
(yue)"	['french', '']	['29,', 'female', '']	3.0	academic	['usa,', 'australia']	4.0	29.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=878	cantonese17	female	['kong,', 'china']	"cantonese
(yue)"	['french', 'mandarin', 'japanese', '']	['26,', 'female', '']	3.0	academic	['uk,', 'usa']	15.0	26.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=885	cantonese18	male	['kong,', 'china']	"cantonese
(yue)"	['mandarin', 'japanese', '']	['19,', 'male', '']	3.0	academic	['']	0.0	19.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1247	cantonese19	female	['kong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['28,', 'female', '']	7.0	academic	['usa']	0.1	28.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1480	cantonese20	male	['kong,', 'china']	"cantonese
(yue)"	['mandarin', 'japanese', '']	['18,', 'male', '']	3.0	academic	['']	0.0	18.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1558	cantonese21	female	['kong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['18,', 'female', '']	4.0	naturalistic	['']	0.0	18.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1974	cantonese22	female	['kong,', 'china']	"cantonese
(yue)"	['none']	['30,', 'female', '']	3.0	academic	['']	0.0	30.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1975	cantonese23	male	['kong,', 'china']	"cantonese
(yue)"	['none']	['33,', 'male', '']	6.0	academic	['']	0.0	33.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2223	cantonese24	female	['kong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['23,', 'female', '']	3.0	academic	['usa']	4.0	23.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2234	cantonese25	male	['kong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['23,', 'male', '']	3.0	academic	['']	0.0	23.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2320	cantonese26	female	['kong,', 'china']	"cantonese
(yue)"	['none']	['26,', 'female', '']	6.0	academic	['usa']	10.0	26.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2330	cantonese27	male	['city,', 'vietnam']	"cantonese
(yue)"	['vietnamese', '']	['20,', 'male', '']	15.0	academic	['usa']	5.0	20.0	default
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2408	cantonese28	female	['guangzhou,', 'china']	"cantonese
(yue)"	['mandarin', '']	['25,', 'female', '']	7.0	academic	['usa']	4.0	25.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2481	cantonese29	male	['kong,', 'china']	"cantonese
(yue)"	['none']	['20,', 'male', '']	6.0	academic	['usa']	16.0	20.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2556	cantonese30	female	['guangzhou,', 'china']	"cantonese
(yue)"	['korean', '']	['25,', 'female', '']	6.0	academic	['australia']	1.5	25.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2565	cantonese31	male	['guangdong,', 'china']	"cantonese
(yue)"	['none']	['21,', 'male', '']	6.0	academic	['usa']	1.0	21.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2704	cantonese32	female	['fujian,', 'china']	"cantonese
(yue)"	['mandarin', '']	['26,', 'female', '']	7.0	academic	['usa']	2.0	26.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2706	cantonese33	female	['kong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['25,', 'female', '']	7.0	academic	['usa']	2.0	25.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2710	cantonese34	male	['kong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['19,', 'male', '']	6.0	academic	['usa']	2.0	19.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2854	cantonese35	male	['guangdong,', 'china']	"cantonese
(yue)"	['mandarin', '']	['21,', 'male', '']	9.0	academic	['usa']	4.0	21.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1632	gan1	male	['jiangxi,', 'china']	"gan
(gan)"	['none']	['72,', 'male', '']	40.0	naturalistic	['usa']	4.0	72.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=914	hainanese1	male	['singapore,', 'singapore']	"hainanese
(nan)"	['mandarin', '']	['45,', 'male', '']	7.0	academic	['australia']	1.0	45.0	default
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1655	hakka1	female	['kang,', 'taiwan']	"hakka
(hak)"	['mandarin', '']	['72,', 'female', '']	13.0	academic	['usa']	48.0	72.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2241	hakka2	female	['jiangxi,', 'china']	"hakka
(hak)"	['mandarin', '']	['19,', 'female', '']	11.0	academic	['usa']	1.0	19.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2305	hakka3	female	['jiangxi,', 'china']	"hakka
(hak)"	['mandarin', 'min', 'yue', '']	['20,', 'female', '']	12.0	academic	['']	0.0	20.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=256	mandarin1	female	['shanxi,', 'china']	"mandarin
(cmn)"	['none']	['26,', 'female', '']	13.0	academic	['usa']	2.0	26.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=257	mandarin2	female	['nanjing,', 'china']	"mandarin
(cmn)"	['japanese', '']	['38,', 'female', '']	14.0	academic	['usa']	0.8	38.0	chinese
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=258	mandarin3	male	['jilin,', 'china']	"mandarin
(cmn)"	['italian', 'german', 'french', '']	['43,', 'male', '']	10.0	academic	['usa']	14.0	43.0	chinese
